size of int array, time for copying into enclave (TE-seconds),TE-ms,TE-ns,time for copying to other untrusted memory region(TO-s),TO-ms,TO-ns,kb,mb
146944,0,0,461071,0,0,41188,574,0
147200,0,0,485338,0,0,41110,575,0
147456,0,0,468350,0,0,43424,576,0
147712,0,0,465425,0,0,41290,577,0
147968,0,0,518738,0,0,43984,578,0
148224,0,0,465309,0,0,41959,579,0
148480,0,0,477275,0,0,47781,580,0
148736,0,0,466852,0,0,41531,581,0
148992,0,0,487297,0,0,41423,582,0
149248,0,0,469240,0,0,42151,583,0
149504,0,0,476088,0,0,45335,584,0
149760,0,0,492613,0,0,41592,585,0
150016,0,0,470262,0,0,42257,586,0
150272,0,0,476645,0,0,42013,587,0
150528,0,0,509553,0,0,44145,588,0
150784,0,0,475411,0,0,42508,589,0
151040,0,0,473045,0,0,42407,590,0
151296,0,0,502546,0,0,42957,591,0
151552,0,0,484996,0,0,45030,592,0
151808,0,0,479780,0,0,42722,593,0
152064,0,0,505388,0,0,42490,594,0
152320,0,0,477954,0,0,42549,595,0
152576,0,0,493467,0,0,44416,596,0
152832,0,0,510248,0,0,42730,597,0
153088,0,0,483050,0,0,43408,598,0
153344,0,0,483332,0,0,42609,599,0
153600,0,0,516944,0,0,45193,600,0
153856,0,0,485301,0,0,42949,601,0
154112,0,0,482560,0,0,42793,602,0
154368,0,0,497647,0,0,58142,603,0
154624,0,0,494084,0,0,45694,604,0
154880,0,0,488749,0,0,43208,605,0
155136,0,0,488884,0,0,63870,606,0
155392,0,0,488688,0,0,43637,607,0
155648,0,0,496071,0,0,45488,608,0
155904,0,0,520112,0,0,43636,609,0
156160,0,0,493360,0,0,43599,610,0
156416,0,0,491408,0,0,43569,611,0
156672,0,0,499802,0,0,46187,612,0
156928,0,0,512324,0,0,44000,613,0
157184,0,0,498137,0,0,43720,614,0
157440,0,0,492813,0,0,44296,615,0
157696,0,0,524541,0,0,46096,616,0
157952,0,0,496467,0,0,48464,617,0
158208,0,0,500924,0,0,44572,618,0
158464,0,0,517753,0,0,44726,619,0
